ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,LL_Code,Classification,Family_Glottocode,Family_Name,Language_Glottocode,Language_Name,Level,Status
musk1252,Muskogean,,,,musk1252,,,,,,,,family,
maba1274,Maban,,,,maba1274,,maab;mabn,,,,,,family,
guri1248,Guriaso,Papunesia,-3.5718,141.597,guri1248,grx,grx,,,,guri1248,Guriaso,language,shifting
pawa1255,Pawaia,Papunesia,-6.88021,145.081,pawa1255,pwa,pawa;pwa,,,,pawa1255,Pawaia,language,shifting
bora1262,Boran,,,,bora1262,,,,,,,,family,
guam1236,Guamo,South America,8.2351027,-67.4018753,guam1236,,qax;qao;0in,,,,guam1236,Guamo,language,extinct
rash1249,Rashad,,,,rash1249,,,,,,,,family,
dama1272,Damal,Papunesia,-4.17345,137.496,dama1272,uhn,uhn,,,,dama1272,Damal,language,shifting
puqu1242,Puquina,South America,-15.8992,-69.9611,puqu1242,puq,puq,,,,puqu1242,Puquina,language,extinct
kusu1250,Kusunda,Eurasia,28.33,82.6,kusu1250,kgg,kgg,,,,kusu1250,Kusunda,language,nearly extinct
mirn1241,Mirndi,,,,mirn1241,,,,,,,,family,
kuli1252,Kuliak,,,,kuli1252,,,,,,,,family,
vile1241,Vilela,South America,-27.4063,-58.9661,vile1241,vil,vil,,,,vile1241,Vilela,language,extinct
tuni1252,Tunica,North America,30.9888,-92.5403,tuni1252,tun,tun,,,,tuni1252,Tunica,language,extinct
sent1261,Sentanic,,,,sent1261,,,,,,,,family,
arut1244,Arutani,South America,4.0673594,-62.8676118,arut1244,atx,atx,,,,arut1244,Arutani,language,nearly extinct
yetf1238,Yetfa,Papunesia,-4.05884,140.653,yetf1238,yet,yet,,,,yetf1238,Yetfa,language,shifting
hata1242,Hatam-Mansim,,,,hata1242,,,,,,,,family,
araf1243,Arafundi,,,,araf1243,arf,araf,,,,,,family,
movi1243,Movima,South America,-13.8115,-65.6348,movi1243,mzp,mzp,,,,movi1243,Movima,language,shifting
tamb1257,Tambora,Papunesia,-8.25,118.0,tamb1257,xxt,,,,,tamb1257,Tambora,language,extinct
buna1274,Bunaban,,,,buna1274,,,,,,,,family,
teme1251,Temeinic,,,,teme1251,,,,,,,,family,
cuit1236,Cuitlatec,North America,18.1,-100.5,cuit1236,cuy,qpb,,,,cuit1236,Cuitlatec,language,extinct
muni1258,Muniche,South America,-5.7441796,-76.426712,muni1258,myr,myr,,,,muni1258,Muniche,language,extinct
sout1293,South-Eastern Tasmanian,,,,sout1293,,,,,,,,family,
taia1239,Taiap,Papunesia,-4.05047,144.506,taia1239,gpn,gapu;gpn,,,,taia1239,Taiap,language,moribund
chiq1253,Chiquitano,,,,chiq1253,,,,,,,,family,
chim1301,Chimariko,North America,41.0,-123.0,chim1301,cid,,,,,chim1301,Chimariko,language,extinct
klam1254,Klamath-Modoc,North America,42.5861,-121.704,klam1254,kla,kla,,,,klam1254,Klamath-Modoc,language,extinct
yuru1243,Yurumanguí,South America,3.436864,-76.522636,yuru1243,,qic,,,,yuru1243,Yurumanguí,language,extinct
uruc1242,Uru-Chipaya,,,,uruc1242,,,,,,,,family,
west2604,West Bomberai,,,,west2604,,wbop,,,,,,family,
nduu1242,Ndu,,,,nduu1242,,nduu,,,,,,family,
anga1289,Angan,,,,anga1289,,angn,,,,,,family,
coah1252,Coahuilteco,North America,28.2589,-97.89,coah1252,xcw,xcw;coah,,,,coah1252,Coahuilteco,language,extinct
pomo1273,Pomoan,,,,pomo1273,,,,,,,,family,
mixe1287,Mixed Language,,,,mixe1287,,,,,,,,family,
aust1307,Austronesian,,,,aust1307,,,,,,,,family,
cayu1262,Cayubaba,South America,-13.2482,-65.4822,cayu1262,cyb,cyb,,,,cayu1262,Cayubaba,language,extinct
east1459,East Bird's Head,,,,east1459,,ebir,,,,,,family,
yeni1252,Yeniseian,,,,yeni1252,,yeos,,,,,,family,
toto1251,Totonacan,,,,toto1251,,toto,,,,,,family,
yama1264,Yámana,South America,-55.2748,-68.2648,yama1264,yag,yag,,,,yama1264,Yámana,language,nearly extinct
arti1236,Artificial Language,,,,arti1236,,,,,,,,family,
kunz1244,Kunza,South America,-23.0,-69.0,kunz1244,kuz,kuz,,,,kunz1244,Kunza,language,extinct
mail1249,Mailuan,,,,mail1249,,,,,,,,family,
shom1245,Shom Peng,Eurasia,7.02099,93.8064,shom1245,sii,sii;shom,,,,shom1245,Shom Peng,language,shifting
iber1250,Iberian,Eurasia,40.624,0.212401,iber1250,xib,,,,,iber1250,Iberian,language,extinct
nucl1710,Nuclear-Macro-Je,,,,nucl1710,,,,,,,,family,
boro1281,Bororoan,,,,boro1281,,boro,,,,,,family,
bira1253,Ongota,Africa,5.29807,37.025,bira1253,bxe,bxe,,,,bira1253,Ongota,language,nearly extinct
lule1238,Lule,South America,-25.221839,-61.887818,lule1238,ule,,,,,lule1238,Lule,language,extinct
hara1260,Harakmbut,,,,hara1260,,,,,,,,family,
yele1255,Yele,Papunesia,-11.3796,154.127,yele1255,yle,yle,,,,yele1255,Yele,language,shifting
miwo1274,Miwok-Costanoan,,,,miwo1274,,,,,,,,family,
pauw1244,Pauwasi,,,,pauw1244,,,,,,,,family,
pele1245,Pele-Ata,Papunesia,-5.58045,151.05,pele1245,ata,ata,,,,pele1245,Pele-Ata,language,shifting
left1242,Left May,,,,left1242,,lema,,,,,,family,
lowe1437,Lower Sepik-Ramu,,,,lowe1437,,,,,,,,family,
mang1423,Mangarrayi-Maran,,,,mang1423,,,,,,,,family,
hurr1239,Hurro-Urartian,,,,hurr1239,,,,,,,,family,
iton1250,Itonama,South America,-12.80431,-64.35748,iton1250,ito,ito,,,,iton1250,Itonama,language,nearly extinct
guai1237,Guaicurian,North America,24.1666666667,-110.3,guai1237,,,,,,guai1237,Guaicurian,language,extinct
tonk1249,Tonkawa,North America,30.25,-96.75,tonk1249,tqw,tqw,,,,tonk1249,Tonkawa,language,extinct
araw1281,Arawakan,,,,araw1281,,,,,,,,family,
piaw1238,Piawi,,,,piaw1238,,,,,,,,family,
chuk1271,Chukotko-Kamchatkan,,,,chuk1271,,,,,,,,family,
kond1302,Konda-Yahadian,,,,kond1302,,konh,,,,,,family,
usku1243,Usku,Papunesia,-3.63853,140.502,usku1243,ulf,usku;ulf,,,,usku1243,Usku,language,shifting
guah1252,Guahiboan,,,,guah1252,,,,,,,,family,
maku1246,Máku,South America,3.969231,-64.235892,maku1246,xak,,,,,maku1246,Máku,language,extinct
timo1261,Timor-Alor-Pantar,,,,timo1261,,,,,,,,family,
iroq1247,Iroquoian,,,,iroq1247,,,,,,,,family,
jiva1245,Chicham,,,,jiva1245,,,,,,,,family,
jarr1235,Jarrakan,,,,jarr1235,,,,,,,,family,
haid1248,Haida,North America,,,haid1248,hai,,,,,,,family,
atak1252,Atakapa,North America,30.9121,-93.0827,atak1252,aqp,aqp,,,,atak1252,Atakapa,language,extinct
nort1547,Northern Daly,,,,nort1547,,mlgp,,,,,,family,
adai1235,Adai,North America,31.6314,-92.0059,adai1235,xad,xad,,,,adai1235,Adai,language,extinct
lavu1241,Lavukaleve,Papunesia,-9.05569,159.119,lavu1241,lvk,lvk,,,,lavu1241,Lavukaleve,language,shifting
east2503,Eastern Trans-Fly,,,,east2503,,etfl,,,,,,family,
molo1262,Molof,Papunesia,-3.41946,140.557,molo1262,msl,msl;molf,,,,molo1262,Molof,language,shifting
sout1516,South Bird's Head Family,,,,sout1516,,,,,,,,family,
tuxa1239,Tuxá,South America,-8.953642,-38.2742287,tuxa1239,tud,tud,,,,tuxa1239,Tuxá,language,extinct
wara1303,Warao,South America,7.50851,-59.3528,wara1303,wba,wba,,,,wara1303,Warao,language,threatened
pidg1258,Pidgin,,,,pidg1258,,,,,,,,family,
ainu1252,Ainu,,,,ainu1252,,,,,,,,family,
yang1287,Yangmanic,,,,yang1287,,,,,,,,family,
beot1247,Beothuk,North America,48.0,-57.0,beot1247,bue,bue,,,,beot1247,Beothuk,language,extinct
abkh1242,Abkhaz-Adyge,,,,abkh1242,,,,,,,,family,
goil1242,Goilalan,,,,goil1242,,goil,,,,,,family,
jica1245,Jicaquean,,,,jica1245,,,,,,,,family,
saus1247,Sause,Papunesia,-3.16632,139.627,saus1247,sao,sao,,,,saus1247,Sause,language,shifting
sign1238,Sign Language,,,,sign1238,,,,,,,,family,
khoe1240,Khoe-Kwadi,,,,khoe1240,,khkw,,,,,,family,
misu1242,Misumalpan,,,,misu1242,,,,,,,,family,
kimk1238,Kimki,Papunesia,-4.2742,140.884,kimk1238,sbt,sbt,,,,kimk1238,Kimki,language,shifting
puri1261,Puri-Coroado,,,,puri1261,,,,,,,,family,
fasu1242,Fasu,Papunesia,-6.62687,143.284,fasu1242,faa,faa,,,,fasu1242,Fasu,language,shifting
kaya1327,Kayagaric,,,,kaya1327,,,,,,,,family,
sout2772,Southern Daly,,,,sout2772,,,,,,,,family,
coos1248,Coosan,,,,coos1248,,,,,,,,family,
buru1296,Burushaski,Eurasia,36.2161,74.8236,buru1296,bsk,bsk,,,,buru1296,Burushaski,language,shifting
mure1235,Mure,South America,-13.636709,-62.2020909,mure1235,,,,,,mure1235,Mure,language,extinct
taik1256,Tai-Kadai,,,,taik1256,,,,,,,,family,
zamu1243,Zamucoan,,,,zamu1243,,,,,,,,family,
cofa1242,Cofán,South America,0.276675,-77.0643,cofa1242,con,con,,,,cofa1242,Cofán,language,shifting
algi1248,Algic,,,,algi1248,,,,,,,,family,
coto1248,Cotoname,North America,25.9116,-97.3956,coto1248,xcn,,,,,coto1248,Cotoname,language,extinct
skoo1245,Sko,,,,skoo1245,,,,,,,,family,
iran1263,Irántxe-Münkü,South America,-12.7178,-57.9806,iran1263,irn,irn,,,,iran1263,Irántxe-Münkü,language,moribund
naml1239,Namla-Tofanma,,,,naml1239,,,,,,,,family,
chit1248,Chitimacha,North America,30.3386,-90.9123,chit1248,ctm,ctm,,,,chit1248,Chitimacha,language,extinct
guai1249,Guaicuruan,,,,guai1249,,,,,,,,family,
wage1238,Wageman,Australia,-13.8627,131.893,wage1238,waq,waq,,,,wage1238,Wageman,language,moribund
toro1256,Tor-Orya,,,,toro1256,,,,,,,,family,
peba1241,Peba-Yagua,,,,peba1241,,,,,,,,family,
lara1258,Laragia,Australia,-12.4111,130.922,lara1258,lrg,,,,,lara1258,Laragia,language,nearly extinct
bord1247,Border,,,,bord1247,,,,,,,,family,
mawe1251,Mawes,Papunesia,-2.36944,139.752,mawe1251,mgk,mgk;maws,,,,mawe1251,Mawes,language,shifting
ayma1253,Aymaran,,,,ayma1253,,,,,,,,family,
soma1242,Somahai,,,,soma1242,,,,,,,,family,
daga1274,Dagan,,,,daga1274,,dagn,,,,,,family,
mass1263,Massep,Papunesia,-1.74679,138.294,mass1263,mvs,mass;mvs,,,,mass1263,Massep,language,moribund
pank1250,Pankararú,South America,-8.99999,-37.0167,pank1250,paz,paz,,,,pank1250,Pankararú,language,extinct
chib1249,Chibchan,,,,chib1249,,,,,,,,family,
nyul1248,Nyulnyulan,,,,nyul1248,,,,,,,,family,
