glottocode,name,replacement,relation
nilo1235,Nilo-Saharan,nyim1244,
nilo1235,Nilo-Saharan,gule1241,
nilo1235,Nilo-Saharan,kuli1252,
nilo1235,Nilo-Saharan,kuna1268,
nilo1235,Nilo-Saharan,shab1252,
nilo1235,Nilo-Saharan,kadu1256,
nilo1235,Nilo-Saharan,nilo1247,
nilo1235,Nilo-Saharan,nubi1251,
nige1235,Niger-Congo,rash1248,
nige1235,Niger-Congo,dogo1298,
nige1235,Niger-Congo,narr1279,
nige1235,Niger-Congo,mand1430,
nige1235,Niger-Congo,atla1268,
nige1235,Niger-Congo,ijoi1239,
tork1235,Tor-Kwerba,mawe1251,
tork1235,Tor-Kwerba,toro1254,
alta1235,Altaic,mong1329,
alta1235,Altaic,tung1282,
alta1235,Altaic,turk1302,
maku1235,Maku,kaku1242,
grea1235,Greater Sepik,papi1255,
grea1235,Greater Sepik,wali1264,
grea1235,Greater Sepik,nduu1242,
grea1235,Greater Sepik,yera1243,
tran1235,Trans-New Guinea,tura1263,
tran1235,Trans-New Guinea,elem1255,
tran1235,Trans-New Guinea,poro1255,
tran1235,Trans-New Guinea,goil1242,
tran1235,Trans-New Guinea,awin1249,
tran1235,Trans-New Guinea,duna1247,
tran1235,Trans-New Guinea,inla1262,
tran1235,Trans-New Guinea,daga1274,
tran1235,Trans-New Guinea,kaya1328,
tran1235,Trans-New Guinea,pawa1255,
tran1235,Trans-New Guinea,tiri1259,
tran1235,Trans-New Guinea,east2433,
tran1235,Trans-New Guinea,demm1245,
tran1235,Trans-New Guinea,momb1255,
tran1235,Trans-New Guinea,kiwa1251,
tran1235,Trans-New Guinea,tebe1251,
tran1235,Trans-New Guinea,kond1302,
tran1235,Trans-New Guinea,suki1244,
tran1235,Trans-New Guinea,yare1247,
tran1235,Trans-New Guinea,anga1289,
tran1235,Trans-New Guinea,mail1247,
macr1235,Macro-Ge,otii1244,
macr1235,Macro-Ge,boro1281,
macr1235,Macro-Ge,maxa1247,
macr1235,Macro-Ge,jeja1235,
macr1235,Macro-Ge,puri1262,
aust1235,Australian,nort1547,
aust1235,Australian,iwai1243,
aust1235,Australian,umbu1255,
aust1235,Australian,east2374,
aust1235,Australian,buna1274,
aust1235,Australian,mirn1241,
aust1235,Australian,gunw1250,
aust1235,Australian,mink1236,
aust1235,Australian,worr1235,
aust1235,Australian,sout2772,
aust1235,Australian,west2434,
torr1235,Torricelli,monu1249,
west1235,West Papuan,nort2923,
medi1249,Mediak,nand1266,
asia1265,Asian Portuguese Creoles,macr1272,
port1284,Portuguese Atlantic Creoles,macr1272,
kruu1241,Kru,krua1234,
bami1238,Bamileke,bami1239,
bole1262,Bole,bole1261,
mang1380,Mangarrayi-Maran,mang1423,
guer1239,Guere-Krahn,guer1244,
futu1244,Futunic,nucl1485,
gimo1235,Gimojan,gong1255,
nort2826,North and East Malayo-Sumbawan,nort3170,
cora1258,Corachol-Aztecan,azte1234,
fris1238,Frisian,fris1239,
nucl1647,Nuclear Apachean,apac1239,
sora1252,Sora-Juray-Gorum,sora1255,
sout2855,Southern Malaita,sout3198,
west2507,West Dogon,west2779,
mund1318,Mundaric,mund1336,
male1288,Malekula Coastal,mala1539,
kamu1259,Kamuku,kamu1262,
buka1256,Buka (Austronesian),buka1262,
cent1969,Central German,high1287,
turk1302,Turkic,comm1245,
chin1285,Chinookan,chin1490,
buru1302,Buru (Central Maluku),buru1322,
sian1256,Siane-Yaweyuha,goro1272,
pama1248,Pama-Nyungan,pama1250,
ngan1303,Ngando (C.10),liko1251,
nort2766,Northern Atlantic,nort3146,
dyir1249,Dyirbalic,herb1234,
seng1276,Senga-Sena (N.40),east2731,
raja1237,Rajasthani,raja1256,
asha1240,Asha-Ashe-Kak-Matsi-Nan,asha1244,
kain1266,Kainji,cent2242,
nucl1326,Nuclear Hmongic,nucl1720,
nort2736,Northern Daic,nort3180,
male1286,Malekula Interior,mala1539,
omet1235,Ometo-Gimira,omet1238,
sout2646,Southwestern-Persian Iranian,fars1255,
nucl1315,Nuclear Choic,choi1241,
reja1242,Rejang-Sajau,reja1243,
inla1263,Inland Northern Maipuran,inla1264,
mbam1250,Mbam-Nkam Nun,mbam1253,
otom1296,Otomanguean,otom1299,
sans1270,Sansi-Kabutra,indo1321,
mala1477,Malayo-Sumbawan,nort3170,
sapa1249,Sapa-Southwestern Tai,sout3184,
bium1267,Biu-Mandara A,bium1280,
chap1267,Chapacuran,chap1271,
luba1248,Luba (L.30),luba1253,
east2475,East Ramelaic,cent2245,
nort2793,Northwestern Edoid,nort3183,
mada1287,Madang-Adelbert Range,mada1298,
uncl1431,Unclassified Loloish,nili1234,
nort2835,Northeast Vanuatu-Banks Islands,nort3195,
narr1264,Narrow Bantu P,east2731,
bium1276,Biu-Mandara A A.3,higi1241,
paci1276,Pacific French Creole,reun1239,
halb1243,Halbi-Bhatri,halb1246,
uncl1439,Unclassified Southern Bantoid,sout3152,
taki1250,Takic,cali1246,
east2511,East New Guinea Highlands,nucl1709,
sout2748,Southwestern Kra,sout3143,
arti1235,Artificial Language,arti1236,
phil1245,Philippine,mala1535,
marq1245,Marquesan,nucl1751,
west2623,Western Nahuatl,azte1234,
kuki1243,Kuki-Chin-Naga,kuki1245,
angl1261,Anglian,angl1265,
east2393,Eastern Oti-Volta,otiv1240,
nort3094,Northwestern Aramaic,cent2217,
yamb1253,Yambasa (A.60),yamb1256,
sout2768,Southern Yolngu,sout3142,
more1260,More-Tora,chap1271,
sepi1253,Sepik,sepi1257,
bium1266,Biu-Mandara,bium1280,
algi1243,Algic,algo1256,
kali1301,Kalinga-Itneg,kali1310,
jose1244,Josephstaal-Wanang,sout3148,
cent1962,Central-Southern Italo-Romance,roma1334,
gunw1251,Gunwinggic,marn1242,
hmon1329,Hmong-Mien,hmon1336,
sout2706,South Dravidian,sout3133,
sout2726,Southern Burmish,sout3159,
libi1243,Libinza Ngiri,libi1252,
nort2685,North Bahnaric,nort3150,
afro1252,Afro-Asiatic,afro1255,
east2543,Eastern Algonquian,east2700,
akuk1239,Akuku-Oloma,sout3171,
